Database,Version,Ingest Nodes/s,Ingest Edges/s,Ingest Time (s),1-Hop p50 (ms),1-Hop p95 (ms),2-Hop p50 (ms),2-Hop p95 (ms),3-Hop p50 (ms),3-Hop p95 (ms),Point Lookup p50 (ms),Point Lookup p95 (ms),Filtered Lookup p50 (ms),Filtered Lookup p95 (ms),Aggregation p50 (ms),Aggregation p95 (ms),C=1 QPS,C=10 QPS,C=40 QPS
CognoDB Cloud,Unknown,747.06,5209.63,20.08,87.55,98.45,118.65,221.16,763.25,2226.83,86.65,96.61,93.61,106.95,123.44,141.91,7.35,14.53,17.09
ArangoDB,3.11.10,6046.63,42165.96,2.48,2.59,4.19,18.20,76.25,281.95,904.79,2.83,5.05,5.72,13.04,7.46,10.66,38.90,18.60,23.01
Memgraph,5.9.0,8552.37,59639.68,1.75,0.85,2.59,2.31,7.94,14.84,84.38,0.55,0.78,4.32,35.32,5.86,14.20,264.14,181.23,216.51
Neo4j,5.22.0,503.24,3509.29,29.81,4.11,40.37,6.02,76.49,38.58,106.53,5.15,54.06,8.13,96.22,10.79,79.27,102.13,55.49,89.19
FalkorDB,Unknown,1375.82,9594.26,10.90,0.65,1.87,2.63,6.65,4.56,35.38,0.53,1.14,1.61,3.21,4.43,7.29,317.34,167.50,170.05
